,domain_name,field_name,subfield_name,name
5634,Life Sciences,Immunology and Microbiology,Immunology,Human T-cell Leukemia Virus Type 1 Infection
5638,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Cyclin-Dependent Kinase 4/6 Inhibitors in Breast Cancer
5639,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,Nutritional Genomics: Personalized Nutrition and Health
5648,Health Sciences,Medicine,Surgery,Tissue Engineering and Regenerative Medicine
5655,Physical Sciences,Computer Science,Artificial Intelligence,Quantum Computing and Simulation
5707,Life Sciences,Immunology and Microbiology,Immunology,Trained Immunity in Health and Disease
5738,Health Sciences,Medicine,Hepatology,Hepatocellular Carcinoma
5740,Health Sciences,Medicine,Ophthalmology,Global Prevalence and Treatment of Glaucoma
5745,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Molecular Mechanisms of DNA Damage Response
5755,Health Sciences,Health Professions,General Health Professions,Strategies to Reduce Low-Value Health Care Services
5759,Health Sciences,Health Professions,General Health Professions,Work-related Stress and Health Impact
5767,Health Sciences,Medicine,Infectious Diseases,Diagnostic Methods for COVID-19 Detection
5768,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Lipid Rafts and Membrane Dynamics
5784,Physical Sciences,Computer Science,Computer Vision and Pattern Recognition,Deep Learning in Computer Vision and Image Recognition
5795,Health Sciences,Health Professions,Speech and Hearing,Dysphagia and Swallowing Disorders
5802,Health Sciences,Medicine,Psychiatry and Mental health,Posterior Reversible Encephalopathy Syndrome (PRES)
5823,Physical Sciences,Computer Science,Information Systems,Blockchain and Internet of Things Integration
5825,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Diagnosis and Management of Biliary Tract Disorders
5858,Health Sciences,Medicine,Surgery,Management of Peritoneal Carcinomatosis from Digestive Tract
5877,Health Sciences,Health Professions,Emergency Medical Services,Disaster Response and Public Health Preparedness
5878,Physical Sciences,Chemistry,Organic Chemistry,Chemical Glycobiology and Therapeutic Applications
5896,Life Sciences,Agricultural and Biological Sciences,Plant Science,Plant Pathology and Resistance to Fungal Diseases
5913,Life Sciences,Agricultural and Biological Sciences,Food Science,Antimicrobial Properties of Essential Oils in Foods
5993,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research,Role of Matrix Metalloproteinases in Cancer and Physiology
6003,Social Sciences,Social Sciences,Demography,Family Structure and Fertility Patterns
6022,Life Sciences,Neuroscience,Cellular and Molecular Neuroscience,Nurr1/CoREST Pathway in Neuroprotection and Inflammation
6033,Health Sciences,Medicine,Physiology,Intermittent Fasting and Health Effects
6057,Health Sciences,Medicine,Hematology,Diseases Related to Blood Group Variants
6068,Physical Sciences,Computer Science,Computational Theory and Mathematics,Multiscale Methods for Heterogeneous Systems
6073,Health Sciences,Medicine,Complementary and alternative medicine,Exercise Physiology and Cardiovascular Health
6091,Physical Sciences,Chemistry,Spectroscopy,Chiroptical Spectroscopy in Organic Compound Analysis
6096,Physical Sciences,Chemistry,Organic Chemistry,Applications of Photoredox Catalysis in Organic Synthesis
6104,Health Sciences,Veterinary,Small Animals,Canine and Feline Health and Nutrition Research
6134,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,Melanin Pigmentation in Mammalian Skin
6138,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research,Genotoxicity and Carcinogenesis Mechanisms
6146,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Consequences of Mortgage Credit Expansion and Housing Market Dynamics
6191,Health Sciences,Medicine,Infectious Diseases,Viral Hemorrhagic Fevers and Zoonotic Infections
6231,Social Sciences,Decision Sciences,"Statistics, Probability and Uncertainty",Bibliometric Analysis and Research Evaluation
6266,Health Sciences,Medicine,Ophthalmology,Ocular Manifestations of COVID-19
6269,Health Sciences,Medicine,Obstetrics and Gynecology,Maternal and Neonatal Outcomes of Cesarean Section
6270,Health Sciences,Medicine,Psychiatry and Mental health,Empathy Decline and Training in Medical Education
6274,Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",Management of Hyperbilirubinemia in Newborn Infants
6277,Health Sciences,Medicine,Surgery,Organ Transplantation and Rejection
6280,Health Sciences,Medicine,Rheumatology,Autoinflammatory Bone Disorders
6357,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Diagnosis and Treatment of Renal Artery Stenosis
6379,Health Sciences,Health Professions,Emergency Medical Services,Improving Patient Safety in Healthcare Settings
6380,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Diagnosis and Management of Adrenal Insufficiency
6396,Health Sciences,Medicine,Pharmacology,Hypersensitivity Reactions to Drugs and Medications
6398,Physical Sciences,Earth and Planetary Sciences,Geology,3D Geospatial Modelling Techniques
6411,Health Sciences,Health Professions,Speech and Hearing,Effects of Noise Pollution on Health and Well-being
6425,Physical Sciences,Mathematics,Mathematical Physics,Inverse Problems in Mathematical Physics and Imaging
6435,Physical Sciences,Engineering,Biomedical Engineering,Non-contact Physiological Monitoring Technology
6462,Physical Sciences,Computer Science,Artificial Intelligence,Graph Neural Network Models and Applications
6472,Health Sciences,Health Professions,General Health Professions,Public Health and Health Promotion Framework
6476,Health Sciences,Medicine,Neurology,Cerebrospinal Fluid Disorders and Hematomas
6498,Health Sciences,Medicine,Surgery,Endoscopic Skull Base Surgery Techniques
6524,Physical Sciences,Environmental Science,Environmental Engineering,Low-Cost Air Quality Monitoring Systems
6549,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Structure and Function of Nicotinic Receptors
6554,Social Sciences,Social Sciences,Gender Studies,Gender Bias in Academic Medicine and Science
6611,Physical Sciences,Environmental Science,Pollution,Indoor Air Pollution in Developing Countries
6646,Health Sciences,Medicine,Rheumatology,Glycogen Metabolism and Myoclonic Disorders
6663,Physical Sciences,Earth and Planetary Sciences,Oceanography,Marine Biodiversity and Ecosystem Functioning
6676,Social Sciences,"Economics, Econometrics and Finance",Finance,Theory and Applications of Option Pricing Models
6684,Health Sciences,Medicine,Epidemiology,Epidemiology and Treatment of Meningiomas
6695,Health Sciences,Medicine,Oncology,The p53 Signaling Network in Cancer Research
6702,Social Sciences,Social Sciences,Health,Firearm Violence and Public Health
6737,Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",Ethical Considerations in Pediatric Medical Decision-Making
6865,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Transformation of Medical Education and Professionalism
6869,Physical Sciences,Computer Science,Computer Vision and Pattern Recognition,Generative Adversarial Networks in Image Processing
6890,Physical Sciences,Computer Science,Artificial Intelligence,Adversarial Robustness in Deep Learning Models
6964,Social Sciences,Social Sciences,Sociology and Political Science,The Spread of Misinformation Online
6983,Social Sciences,Social Sciences,Communication,The Impact of Digital Media on Public Discourse
6985,Physical Sciences,Chemistry,Organic Chemistry,Chemistry and Applications of Antimicrobial Polymers
7009,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Fertility Preservation in Cancer Patients
7018,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Chromatin Remodeling in Cancer and Development
7036,Health Sciences,Medicine,Pathology and Forensic Medicine,Diagnosis and Pathogenesis of Multiple Sclerosis
7065,Life Sciences,Neuroscience,Cellular and Molecular Neuroscience,Brain Fluid Dynamics and Waste Clearance Mechanisms
7081,Social Sciences,Social Sciences,Political Science and International Relations,Political Economy and Governance in China
7156,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Mechanisms and Implications of Ferroptosis in Cancer
7163,Physical Sciences,Energy,"Renewable Energy, Sustainability and the Environment",Photocatalytic Materials for Solar Energy Conversion
7175,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research,Role of Long Noncoding RNAs in Cancer and Development
7176,Life Sciences,Neuroscience,Cognitive Neuroscience,Impact of Hearing Loss on Cognitive Function
7190,Health Sciences,Medicine,Pharmacology,Therapeutic Potential of Flavonoids in Medicine
7218,Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",Detection and Management of Retinal Diseases
7274,Physical Sciences,Environmental Science,Industrial and Manufacturing Engineering,Solid Waste Management
7410,Life Sciences,Immunology and Microbiology,Immunology,Role of Mast Cells in Immunoregulation and Disease
7438,Physical Sciences,Mathematics,Statistics and Probability,Statistical Literacy and Reasoning in Education
7467,Life Sciences,Agricultural and Biological Sciences,Food Science,Probiotics and Prebiotics
7493,Social Sciences,Social Sciences,Political Science and International Relations,American Political Thought and History
7582,Health Sciences,Medicine,Otorhinolaryngology,Diagnosis and Management of Otitis Media
7649,Health Sciences,Medicine,Neurology,Diagnosis and Treatment of Primary Central Nervous System Lymphoma
7745,Health Sciences,Medicine,Physiology,Mechanosensitive Ion Channels in Physiology and Disease
7746,Health Sciences,Medicine,Oncology,Poly(ADP-ribose) Polymerase Inhibition in Cancer Therapy
7833,Social Sciences,"Business, Management and Accounting",Management Information Systems,Coordination and Information Sharing in Supply Chains
7838,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Ethical and Medical Aspects of Organ Donation
7890,Physical Sciences,Computer Science,Computer Networks and Communications,Internet of Things and Edge Computing
7939,Physical Sciences,Chemistry,Organic Chemistry,Heterocyclic Compounds for Drug Discovery
7949,Social Sciences,"Business, Management and Accounting",Management Information Systems,Dynamics of Crowdfunding and Fintech
7958,Social Sciences,Social Sciences,Demography,Impact of Retirement on Aging Workforce
7959,Life Sciences,Neuroscience,Neurology,Chronic Cerebral Hypoperfusion-Related Neurodegenerative Diseases
7960,Health Sciences,Medicine,Surgery,Liver Transplantation and Graft Survival Analysis
7993,Health Sciences,Medicine,Surgery,Management of Spinal Metastatic Tumors
8049,Life Sciences,Neuroscience,Neurology,Classification of Brain Tumor Type and Grade
8201,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Diagnosis and Management of Chronic Cough
8207,Health Sciences,Medicine,Critical Care and Intensive Care Medicine,Role of Lung Ultrasound in Critical Care
8221,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Patent Foramen Ovale and Cerebrovascular Events
8222,Social Sciences,Decision Sciences,Information Systems and Management,Management and Reproducibility of Scientific Workflows
8244,Social Sciences,Social Sciences,Transportation,Understanding Human Mobility Patterns
8245,Health Sciences,Medicine,Oncology,Cancer of Unknown Primary Site
8249,Physical Sciences,Engineering,Computational Mechanics,Ion Beam Surface Analysis and Nanoscale Patterning
8250,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Cardiotoxicity of Cancer Treatments
8251,Physical Sciences,Computer Science,Computer Vision and Pattern Recognition,Image Enhancement Techniques
8264,Health Sciences,Medicine,Surgery,Impact of Spinal Deformity on Health and Function
8307,Health Sciences,Medicine,Genetics,Hereditary Angioedema: Molecular Mechanisms and Clinical Management
8309,Physical Sciences,Engineering,Mechanics of Materials,Dynamic Recrystallization in Metal Deformation Processes
8322,Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",Gait Analysis and Fall Prevention in Elderly
8337,Health Sciences,Medicine,Pharmacology,Pharmacokinetics of Antibiotics in Critically Ill Patients
8349,Health Sciences,Medicine,Neurology,Myasthenia Gravis and Thymic Tumors Research
8354,Health Sciences,Health Professions,Pharmacy,Weight Stigma and Obesity Management
8372,Health Sciences,Medicine,Neurology,Guillain-Barré Syndrome and Related Neuropathies
8377,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Transforming Growth Factor Beta Signaling Pathway
8384,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Peroxisome Proliferator-Activated Receptors
8401,Health Sciences,Medicine,Psychiatry and Mental health,Impact of Chronic Stress on Cancer Progression
8403,Social Sciences,Social Sciences,Cultural Studies,Cultural and Social Dynamics in the Caribbean Region
8404,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Endocrinology,Interactions of Legionella and Amoebae in Disease
8406,Physical Sciences,Mathematics,Discrete Mathematics and Combinatorics,Limits and Structures in Graph Theory
